Papel,Cotação,EV/EBIT,ROIC,Liq.2meses,ranking_ev_ebit,ranking_roic,ranking_total
HBSA3,3.6,22.89,5.23,15451900.0,172.0,156.0,328.0
PTBL3,4.93,16.84,4.1,2253020.0,159.0,169.0,328.0
JALL3,7.04,20.18,4.6,4486420.0,168.0,162.0,330.0
JPSA3,29.02,20.35,4.56,7666510.0,169.0,163.0,332.0
ROMI3,10.8,17.81,4.13,2032650.0,165.0,167.0,332.0
MGLU3,11.89,16.28,3.07,283394000.0,158.0,175.0,333.0
AURE3,12.05,17.63,3.63,39096300.0,164.0,173.0,337.0
LAND3,14.7,29.8,5.37,1092770.0,183.0,154.0,337.0
LJQQ3,4.07,17.11,2.17,11921400.0,161.0,180.0,341.0
LWSA3,4.45,18.9,2.43,35245400.0,166.0,176.0,342.0
MRFG3,11.35,21.06,2.32,63447100.0,170.0,178.0,348.0
ENAT3,20.61,27.2,3.74,39883200.0,180.0,172.0,352.0
LOGG3,21.45,25.71,2.4,7999240.0,176.0,177.0,353.0
HAPV3,4.18,23.73,2.28,200123000.0,175.0,179.0,354.0
ZAMP3,3.5,26.1,2.04,2775590.0,177.0,181.0,358.0
MTRE3,3.96,28.25,1.59,3485820.0,181.0,184.0,365.0
EZTC3,13.49,30.01,2.02,24011500.0,184.0,182.0,366.0
MRVE3,6.73,29.54,1.55,67825600.0,182.0,185.0,367.0
ALPA4,8.66,72.18,1.78,22010300.0,185.0,183.0,368.0
ITSA3,10.24,188.58,0.61,1044440.0,186.0,186.5,372.5
ITSA4,10.29,189.47,0.61,207935000.0,187.0,186.5,373.5
